changeID,project,insertions,deletions,accountID,verified
1,447234,openstack/ironic-staging-drivers,76,18,9542
1,331346,openstack-infra/ciwatch,6,5,7979
1,409025,openstack/manila,29,15,24309
0,324720,openstack/nova,9,28,2750
1,404877,openstack/fuel-plugin-nsxv,230,456,16044
1,444095,openstack/horizon,552,5,12071
0,337314,openstack-dev/ci-sandbox,1,0,21976
0,452710,openstack/charm-neutron-api,24,4,6737
1,454562,openstack/cinder,60,0,20191
1,436619,openstack/rpm-packaging,470,0,7102
1,340763,openstack/python-neutronclient,1489,0,17455
1,447694,openstack/service-types-authority,3,0,668
0,448113,openstack/sahara,0,76,16625
1,421399,openstack-dev/devstack,1,1,6873
0,412190,openstack-dev/ci-sandbox,0,6,23729
0,337870,openstack-dev/ci-sandbox,1,0,21976
0,347106,openstack-dev/ci-sandbox,1,0,22495
1,248524,openstack/keystoneauth,187,15,7191
1,458140,openstack/stackalytics,16,0,25235
0,404565,openstack/nova,62,0,15648
1,450797,openstack/kolla-ansible,14,2,16233
0,336837,openstack-dev/ci-sandbox,1,0,21976
0,334755,openstack-dev/ci-sandbox,1,0,21976
1,449869,openstack/cinder,15,15,25456
0,412181,openstack-dev/ci-sandbox,0,0,23729
0,215385,openstack/nova,471,26,9176
0,252809,openstack/nova,85,12,15961
0,343524,openstack-dev/ci-sandbox,1,0,22495
0,438793,openstack/rpm-packaging,127,0,597
0,458935,openstack/nova,0,4,6873
0,343529,openstack-dev/ci-sandbox,1,0,22495
1,381989,openstack/ironic-specs,206,0,2889
1,428692,openstack/gertty,135,0,4264
1,275614,openstack/neutron,92,11,9531
0,325509,openstack/fuel-ostf,60,34,12631
0,390289,openstack-dev/sandbox,1,0,23937
1,457149,openstack/stackalytics,17,0,25373
0,338682,openstack-dev/ci-sandbox,1,0,22495
0,454370,openstack/vmware-nsx,1,1,6167
0,426128,openstack/nova,79,7,8556
1,389263,openstack/ironic,1,1,7933
0,181634,openstack/nova,188,51,15424
1,374315,openstack/kuryr-libnetwork,16,1,1923
0,345172,openstack-dev/ci-sandbox,1,0,22495
1,452518,openstack/refstack,194,0,24728
1,410962,openstack/magnum,349,11,21660
0,386317,openstack/rally,196,0,23668
0,337877,openstack-dev/ci-sandbox,1,0,21976
0,336534,openstack/murano,67,0,8127
